ENSEMBL	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
ENSMUSG00000028906	4202	3382	3465	3337	4222	3466	2878
ENSMUSG00000028907	508	419	626	549	570	592	668
ENSMUSG00000028909	13	18	34	18	8	26	16
ENSMUSG00000028910	330	316	275	317	332	321	276
ENSMUSG00000028911	602	499	718	661	620	604	593
ENSMUSG00000028914	135	94	119	103	85	104	159
ENSMUSG00000028917	830	749	725	704	723	750	806
ENSMUSG00000028919	5	4	2	7	3	6	41
ENSMUSG00000028920	511	348	582	427	496	447	426
ENSMUSG00000028923	226	231	370	267	277	281	500
ENSMUSG00000028926	88	67	147	88	83	83	206
ENSMUSG00000028927	4468	3273	2900	3736	4473	3934	4072
ENSMUSG00000028931	8	10	32	8	7	6	128
ENSMUSG00000028932	2450	2207	2526	2397	2909	2202	2443
ENSMUSG00000028933	149	116	148	131	148	124	119
ENSMUSG00000028936	2507	1937	2204	2132	2436	2368	2398
ENSMUSG00000028937	466	268	325	400	389	411	398
ENSMUSG00000028938	0	0	0	0	0	0	0
ENSMUSG00000028940	0	0	0	0	0	0	0
ENSMUSG00000028943	9	18	7	8	8	8	11
ENSMUSG00000028944	213	214	292	253	221	244	223
ENSMUSG00000028945	1324	1219	1402	1208	1531	1301	1338
ENSMUSG00000028946	0	0	0	0	0	0	0
ENSMUSG00000028948	373	313	387	314	333	346	359
ENSMUSG00000028949	4422	3359	4662	4054	4743	3773	2922
ENSMUSG00000028950	31	16	51	49	28	31	31
ENSMUSG00000028952	88	55	66	50	72	60	59
ENSMUSG00000028953	3771	3172	3359	3329	4196	3338	3142
ENSMUSG00000028954	1283	1078	1155	1049	1297	1186	1192
ENSMUSG00000028955	996	904	1128	1101	1076	928	1176
ENSMUSG00000028957	1193	1222	619	726	1214	1046	932
ENSMUSG00000028958	282	210	292	297	312	263	230
ENSMUSG00000028959	3586	2877	3226	3143	3681	3046	3242
ENSMUSG00000028960	1063	988	1062	966	1118	1006	1121
ENSMUSG00000028961	370	251	587	344	306	319	659
ENSMUSG00000028962	402	364	433	344	440	328	511
ENSMUSG00000028963	3	0	1	2	2	2	0
ENSMUSG00000028964	9752	7195	9313	8345	10421	7658	7101
ENSMUSG00000028965	0	2	0	2	2	2	8
ENSMUSG00000028967	763	671	633	565	794	641	1109
ENSMUSG00000028969	236	215	195	168	205	182	212
ENSMUSG00000028970	317	253	277	263	361	375	344
ENSMUSG00000028971	3	0	1	1	1	4	2
ENSMUSG00000028972	0	0	0	0	0	0	0
ENSMUSG00000028973	893	824	955	814	922	884	822
ENSMUSG00000028974	1655	1434	1461	1525	1797	1331	1713
ENSMUSG00000028975	449	422	511	393	422	423	359
ENSMUSG00000028976	0	0	0	0	0	0	0
ENSMUSG00000028977	1397	1205	1664	1402	1510	1488	1223
ENSMUSG00000028978	257	210	259	165	250	219	256
ENSMUSG00000028979	8	5	4	7	16	6	0
ENSMUSG00000028980	1987	1672	2740	1924	2024	1788	1770
ENSMUSG00000028982	470	364	387	380	473	399	353
ENSMUSG00000028986	977	1004	842	788	1221	1012	871
ENSMUSG00000028988	372	297	509	404	408	356	265
ENSMUSG00000028989	375	669	222	171	197	296	419
ENSMUSG00000028990	168	150	198	160	178	154	181
ENSMUSG00000028991	1542	1203	1381	1323	1571	1306	1376
ENSMUSG00000028992	514	463	495	527	511	447	393
ENSMUSG00000028995	175	155	169	172	213	157	282
ENSMUSG00000028996	25	20	12	7	13	14	14
ENSMUSG00000028998	701	619	786	695	791	651	671
ENSMUSG00000028999	210	198	227	174	209	183	262
ENSMUSG00000029001	128	126	84	120	115	111	135
ENSMUSG00000029003	169	178	182	178	181	130	170
ENSMUSG00000029004	1479	1159	1257	1054	1699	1419	1437
ENSMUSG00000029005	4	6	1	6	6	11	4
ENSMUSG00000029007	286	197	311	254	269	229	370
ENSMUSG00000029009	195	178	341	177	194	213	304
ENSMUSG00000029012	206	217	254	224	246	245	203
ENSMUSG00000029014	704	565	625	673	776	609	780
ENSMUSG00000029015	0	0	0	0	0	0	0
ENSMUSG00000029016	171	168	200	175	160	155	233
ENSMUSG00000029017	1697	1420	1468	1546	1821	1466	1639
ENSMUSG00000029019	0	0	0	1	0	0	2
ENSMUSG00000029020	17221	14124	14822	15837	17739	14334	13752
ENSMUSG00000029022	191	181	182	149	164	146	192
ENSMUSG00000029026	1	2	4	1	0	0	0
ENSMUSG00000029027	67	42	44	65	62	64	77
ENSMUSG00000029028	838	687	732	665	743	724	693
ENSMUSG00000029029	243	211	275	222	204	224	185
ENSMUSG00000029030	2614	2115	2723	2194	2633	2267	2071
ENSMUSG00000029032	2	2	3	0	4	1	8
ENSMUSG00000029033	276	268	330	268	350	253	398
ENSMUSG00000029034	424	330	412	338	426	335	427
ENSMUSG00000029036	731	684	670	684	694	705	641
ENSMUSG00000029038	580	468	655	549	597	558	585
ENSMUSG00000029047	233	180	235	162	182	167	157
ENSMUSG00000029048	1573	1365	1685	1623	1804	1467	1653
ENSMUSG00000029049	20	20	19	10	34	17	20
ENSMUSG00000029050	1192	975	1479	1124	1201	1209	1544
ENSMUSG00000029053	25	23	23	29	39	44	37
ENSMUSG00000029054	13	15	19	18	11	16	5
ENSMUSG00000029055	4	0	13	1	3	5	2
ENSMUSG00000029056	848	753	740	778	822	851	696
ENSMUSG00000029059	1417	1401	1875	1563	1608	1372	1264
ENSMUSG00000029060	574	433	431	429	516	453	418
ENSMUSG00000029061	18	24	56	5	15	26	137
ENSMUSG00000029062	1280	966	1182	1042	1342	1171	1095
ENSMUSG00000029063	444	464	651	415	490	508	669
ENSMUSG00000029064	909	700	1185	835	909	846	1712
ENSMUSG00000029066	495	376	527	396	535	441	496
ENSMUSG00000029068	1215	1245	1123	1166	1267	1231	1409
ENSMUSG00000029070	394	406	665	347	357	380	918
ENSMUSG00000029071	3733	3314	3737	3168	3856	3107	3012
ENSMUSG00000029072	31	25	45	41	19	35	31
ENSMUSG00000029073	198	130	235	195	214	144	172
ENSMUSG00000029074	0	0	0	0	0	0	0
ENSMUSG00000029075	32	30	35	27	53	32	26
ENSMUSG00000029076	2070	1518	2229	1930	2152	2191	2192
ENSMUSG00000029082	2	11	6	3	3	5	45
ENSMUSG00000029084	144	82	142	152	146	105	153
ENSMUSG00000029086	156	140	131	134	128	137	113
ENSMUSG00000029088	6	16	4	1	8	6	14
ENSMUSG00000029089	112	89	72	69	108	73	107
ENSMUSG00000029090	374	343	470	430	407	443	496
ENSMUSG00000029093	58	62	130	81	96	60	279
ENSMUSG00000029094	161	130	347	177	170	214	283
ENSMUSG00000029095	1082	1017	943	888	1034	1164	1284
ENSMUSG00000029096	691	630	1364	801	628	861	967
ENSMUSG00000029097	67	50	53	55	67	39	66
ENSMUSG00000029098	670	653	658	605	679	662	785
ENSMUSG00000029101	97	85	97	70	81	87	124
ENSMUSG00000029102	2	0	0	3	0	1	0
ENSMUSG00000029103	844	654	1027	666	881	741	899
ENSMUSG00000029104	535	456	695	449	510	534	679
ENSMUSG00000029106	1781	1404	1663	1609	1697	1639	2037
ENSMUSG00000029108	91	65	171	64	64	87	220
ENSMUSG00000029110	464	445	566	386	424	452	630
ENSMUSG00000029111	169	171	191	186	165	194	188
ENSMUSG00000029112	0	0	0	0	0	0	0
ENSMUSG00000029119	173	186	299	142	172	183	398
ENSMUSG00000029120	22	13	20	18	26	20	22
ENSMUSG00000029121	4	0	3	2	3	2	5
ENSMUSG00000029122	500	321	259	359	539	520	669
ENSMUSG00000029123	4	2	5	4	2	1	4
ENSMUSG00000029125	200	189	307	248	196	223	244
ENSMUSG00000029126	25	25	57	26	29	32	103
ENSMUSG00000029127	51	37	74	53	67	55	71
ENSMUSG00000029128	1832	1715	1753	1676	2024	1593	1702
ENSMUSG00000029130	35	25	29	32	24	34	19
ENSMUSG00000029131	2850	2397	2352	2417	3212	2586	2558
ENSMUSG00000029134	24	24	28	18	20	15	27
ENSMUSG00000029135	390	273	457	394	328	312	866
ENSMUSG00000029136	40	26	33	32	37	24	32
ENSMUSG00000029138	8	1	9	4	4	7	0
ENSMUSG00000029141	410	345	338	325	419	365	363
ENSMUSG00000029145	965	747	945	814	922	738	842
ENSMUSG00000029146	754	673	769	728	859	774	864
ENSMUSG00000029147	1034	800	953	951	1075	830	927
ENSMUSG00000029148	1397	1220	1294	1209	1250	1220	1407
ENSMUSG00000029149	25	35	54	41	30	41	33
ENSMUSG00000029151	0	1	0	1	1	0	0
ENSMUSG00000029152	1747	1528	1950	1784	1901	1574	1862
ENSMUSG00000029153	1172	1174	1459	1154	1323	1253	1272
ENSMUSG00000029154	0	0	0	0	1	0	0
ENSMUSG00000029155	0	0	0	0	0	5	0
ENSMUSG00000029156	2576	2352	2541	2276	2711	2374	2638
ENSMUSG00000029158	1033	916	1030	1090	1265	1001	1321
ENSMUSG00000029161	50	27	68	46	66	56	99
ENSMUSG00000029162	285	233	300	210	288	243	245
ENSMUSG00000029163	107	85	191	135	143	138	808
ENSMUSG00000029165	98	102	91	93	78	94	91
ENSMUSG00000029166	1359	1311	1977	1567	1586	1474	1436
ENSMUSG00000029167	1027	678	779	885	912	806	782
ENSMUSG00000029168	18	17	24	26	19	26	19
ENSMUSG00000029169	1183	1042	1168	985	1248	1080	1299
ENSMUSG00000029171	48	26	38	37	54	38	115
ENSMUSG00000029173	333	293	317	281	349	273	310
ENSMUSG00000029174	2854	1649	2128	1936	2376	1903	2899
ENSMUSG00000029175	309	276	413	336	371	332	414
ENSMUSG00000029176	853	733	848	859	921	782	930
ENSMUSG00000029177	69	38	33	33	46	36	165
ENSMUSG00000029178	338	248	449	290	325	325	562
ENSMUSG00000029179	157	162	186	166	191	192	190
ENSMUSG00000029182	0	0	0	0	0	0	0
ENSMUSG00000029184	1	1	2	0	6	3	1
ENSMUSG00000029185	82	110	197	119	112	117	418
ENSMUSG00000029186	33	28	35	24	41	43	161
ENSMUSG00000029188	0	0	0	0	0	0	0
ENSMUSG00000029189	1423	1083	1093	1271	1540	1310	1311
ENSMUSG00000029190	3696	3191	3727	3437	3892	3745	3391
ENSMUSG00000029191	807	636	697	650	834	701	796
ENSMUSG00000029192	370	352	507	407	407	397	528
ENSMUSG00000029193	0	0	0	0	0	0	0
ENSMUSG00000029195	7	3	26	1	3	15	0
ENSMUSG00000029196	677	520	599	558	682	578	503
ENSMUSG00000029198	1374	1214	1248	1126	1387	1172	1274
ENSMUSG00000029199	970	733	785	847	1003	793	792
ENSMUSG00000029201	178	119	259	136	119	204	480
ENSMUSG00000029202	1197	988	1342	1032	1417	1186	1273
ENSMUSG00000029203	1023	881	1139	947	1232	751	993
ENSMUSG00000029204	2	0	8	5	4	5	35
ENSMUSG00000029205	0	2	1	0	0	0	0
ENSMUSG00000029206	2	2	7	9	1	7	9
ENSMUSG00000029207	850	690	865	873	1009	837	994
ENSMUSG00000029208	555	435	448	496	541	470	500
ENSMUSG00000029209	106	77	102	82	86	75	119
ENSMUSG00000029211	0	0	0	0	0	0	0
ENSMUSG00000029212	3	2	10	3	2	2	3
ENSMUSG00000029213	414	354	452	407	445	395	486
ENSMUSG00000029217	82	84	114	91	90	106	197
ENSMUSG00000029219	0	1	0	0	0	0	1
ENSMUSG00000029221	2341	1866	2045	2266	2756	2196	2169
ENSMUSG00000029223	65	70	43	44	66	75	191
ENSMUSG00000029227	449	439	565	516	536	530	563
ENSMUSG00000029228	78	90	45	55	81	84	61
ENSMUSG00000029229	242	199	209	183	215	180	288
ENSMUSG00000029231	599	505	980	617	559	869	1344
ENSMUSG00000029233	43	31	96	55	50	53	127
ENSMUSG00000029234	279	254	303	208	251	271	460
ENSMUSG00000029235	0	0	0	0	0	0	0
ENSMUSG00000029236	0	0	0	0	0	0	0
ENSMUSG00000029238	632	557	1217	879	748	787	942
ENSMUSG00000029245	0	0	4	0	5	6	8
ENSMUSG00000029246	816	788	884	826	1010	691	663
ENSMUSG00000029247	2357	2135	2395	2366	2610	2137	2282
ENSMUSG00000029248	0	0	0	0	0	0	0
ENSMUSG00000029249	335	279	407	345	414	378	418
ENSMUSG00000029250	1486	1189	1370	1285	1619	1267	1316
ENSMUSG00000029253	154	86	186	107	110	133	175
ENSMUSG00000029254	6	9	3	11	4	15	13
ENSMUSG00000029255	1	0	3	1	0	1	3
ENSMUSG00000029260	0	2	0	5	0	0	0
ENSMUSG00000029263	199	207	182	189	220	195	255
ENSMUSG00000029265	396	356	410	339	360	312	448
ENSMUSG00000029267	270	243	258	254	251	268	255
ENSMUSG00000029268	0	0	0	0	0	0	0
ENSMUSG00000029269	0	0	0	1	0	0	0
ENSMUSG00000029270	665	630	916	743	811	587	631
ENSMUSG00000029272	1	6	11	2	8	4	6
ENSMUSG00000029273	0	0	0	0	0	0	0
ENSMUSG00000029275	2	0	1	0	0	0	1
ENSMUSG00000029276	85	113	150	87	79	105	88
ENSMUSG00000029279	47	47	41	33	42	34	27
ENSMUSG00000029280	0	0	0	0	0	0	0
ENSMUSG00000029281	0	0	0	0	0	0	0
ENSMUSG00000029282	0	0	0	0	0	0	0
ENSMUSG00000029283	13	10	17	11	9	6	40
ENSMUSG00000029286	0	0	0	0	0	0	0
ENSMUSG00000029287	762	798	1057	714	846	865	937
ENSMUSG00000029288	0	2	0	0	0	0	0
ENSMUSG00000029290	194	179	229	220	174	210	198
ENSMUSG00000029291	272	251	246	225	260	218	339
ENSMUSG00000029298	296	248	298	239	298	331	373
ENSMUSG00000029299	9	6	20	14	9	8	34
ENSMUSG00000029304	20	13	22	6	36	15	1271
ENSMUSG00000029306	0	0	0	0	0	0	0
ENSMUSG00000029307	0	3	2	2	0	0	12
ENSMUSG00000029309	3559	2943	3278	2850	3310	2918	2610
ENSMUSG00000029310	1239	910	1146	1241	1368	1010	1027
ENSMUSG00000029311	128	95	206	144	153	155	201
ENSMUSG00000029312	672	563	860	783	810	753	697
ENSMUSG00000029313	1745	1560	1971	1675	1555	1762	1595
ENSMUSG00000029314	100	83	142	89	98	75	102
ENSMUSG00000029319	1609	1350	1578	1286	1640	1301	1325
ENSMUSG00000029320	0	0	0	2	0	0	0
ENSMUSG00000029321	44	64	24	16	30	16	41
ENSMUSG00000029322	5	8	16	7	5	5	51
ENSMUSG00000029326	198	181	240	198	220	207	187
ENSMUSG00000029328	2238	2049	2086	2060	2401	2065	2284
ENSMUSG00000029330	106	77	46	74	77	52	52
ENSMUSG00000029334	19	24	19	23	25	13	48
ENSMUSG00000029335	27	47	102	20	21	27	31
ENSMUSG00000029337	5	1	2	0	7	5	6
ENSMUSG00000029338	273	338	566	362	309	490	558
ENSMUSG00000029343	21	17	12	18	30	30	23
ENSMUSG00000029344	302	230	287	211	241	216	307
ENSMUSG00000029345	477	401	506	421	504	449	453
ENSMUSG00000029346	77	59	74	47	61	85	85
ENSMUSG00000029348	9	11	12	7	9	13	12
ENSMUSG00000029352	4	9	4	4	6	7	4
ENSMUSG00000029359	5	4	7	3	10	6	5
ENSMUSG00000029361	3199	2341	4175	3673	3692	3650	2580
ENSMUSG00000029363	70	40	82	63	56	69	123
ENSMUSG00000029364	3040	2419	3031	2879	3151	2856	3146
ENSMUSG00000029366	51	48	59	50	56	52	117
ENSMUSG00000029368	20	105	46	515	15	101	252
ENSMUSG00000029369	0	0	0	3	0	0	2
ENSMUSG00000029370	0	0	0	0	1	1	1
ENSMUSG00000029371	1	0	0	2	1	0	124
ENSMUSG00000029372	3	0	5	2	5	1	26
ENSMUSG00000029373	57	79	183	74	38	60	422
ENSMUSG00000029375	1	6	0	0	0	3	0
ENSMUSG00000029376	113	81	99	74	114	94	96
ENSMUSG00000029377	0	0	0	0	0	0	5
ENSMUSG00000029378	0	0	0	0	0	0	0
ENSMUSG00000029379	0	0	0	4	0	0	1
ENSMUSG00000029380	4	5	3	5	1	8	249
ENSMUSG00000029381	29	22	32	19	39	24	41
ENSMUSG00000029384	5	0	0	0	7	1	2
ENSMUSG00000029385	459	458	354	307	476	402	450
ENSMUSG00000029387	226	214	252	202	225	208	267
ENSMUSG00000029388	724	671	704	678	835	725	692
ENSMUSG00000029389	99	124	156	149	140	146	166
ENSMUSG00000029390	3652	3229	3579	3466	3870	3245	4007
ENSMUSG00000029392	5414	4082	4945	4837	5852	5120	4010
ENSMUSG00000029394	1622	1474	2145	1713	2033	1582	1625
ENSMUSG00000029397	643	557	642	706	723	587	705
ENSMUSG00000029401	103	96	97	85	90	67	122
ENSMUSG00000029402	330	231	302	297	332	290	241
ENSMUSG00000029403	194	163	201	161	206	179	201
ENSMUSG00000029404	621	399	553	471	620	488	531
ENSMUSG00000029405	2010	1526	2096	2112	2212	2024	2261
ENSMUSG00000029406	1301	831	1231	1010	1241	1156	1030
ENSMUSG00000029407	2283	2038	2352	2105	2323	2110	2632
ENSMUSG00000029408	214	167	207	180	168	181	190
ENSMUSG00000029409	0	0	0	0	0	0	0
ENSMUSG00000029410	2	3	7	9	2	5	8
ENSMUSG00000029413	114	99	238	144	102	181	325
ENSMUSG00000029414	0	1	0	2	0	2	74
ENSMUSG00000029415	686	625	688	547	579	643	582
ENSMUSG00000029416	277	280	415	308	385	350	425
ENSMUSG00000029417	40	32	43	23	23	29	33
ENSMUSG00000029419	6	4	6	4	4	3	3
ENSMUSG00000029420	2	1	3	1	0	1	4
ENSMUSG00000029422	1071	901	1042	994	1074	945	962
ENSMUSG00000029423	0	0	0	2	0	1	1
ENSMUSG00000029426	2991	2540	3152	2714	3343	2833	3036
ENSMUSG00000029427	237	288	329	274	297	282	351
ENSMUSG00000029428	203	196	254	214	183	180	287
ENSMUSG00000029430	2121	1839	2353	2049	2471	1959	2631
ENSMUSG00000029431	0	0	0	0	1	0	8
ENSMUSG00000029432	12439	9482	9194	11025	13007	11516	10333
ENSMUSG00000029433	808	725	773	752	976	802	854
ENSMUSG00000029434	1493	1223	1405	1391	1493	1424	1281
ENSMUSG00000029436	6	7	13	9	5	6	12
ENSMUSG00000029437	0	0	0	0	0	0	0
ENSMUSG00000029438	529	433	386	463	511	421	382
ENSMUSG00000029439	662	601	665	616	734	702	663
ENSMUSG00000029440	365	372	429	377	428	333	383
ENSMUSG00000029442	43	36	57	62	70	61	67
ENSMUSG00000029445	1	0	0	8	0	1	2
ENSMUSG00000029446	209	167	226	200	224	183	196
ENSMUSG00000029447	2440	2282	3062	2539	2896	2253	2759
ENSMUSG00000029449	42	27	42	18	25	43	38
ENSMUSG00000029451	0	0	0	0	0	0	0
ENSMUSG00000029452	38	29	28	25	38	24	42
ENSMUSG00000029454	1615	1298	1485	1533	1712	1403	1429
ENSMUSG00000029455	3233	2200	2302	2199	2694	2936	2858
ENSMUSG00000029456	144	141	81	89	156	105	120
ENSMUSG00000029458	980	785	992	891	984	884	818
ENSMUSG00000029461	1573	1226	1658	1516	1516	1585	1395
ENSMUSG00000029462	395	400	451	381	438	381	529
ENSMUSG00000029463	61	65	38	43	54	45	86
ENSMUSG00000029464	369	322	352	342	373	338	294
ENSMUSG00000029465	636	458	636	582	611	548	1012
ENSMUSG00000029466	416	341	414	363	391	387	398
ENSMUSG00000029467	7125	7622	1901	3624	6428	6101	6024
ENSMUSG00000029468	58	48	72	50	25	56	123
ENSMUSG00000029469	88	60	45	51	81	78	94
ENSMUSG00000029470	114	85	154	97	87	102	283
ENSMUSG00000029471	117	79	140	76	99	96	242
ENSMUSG00000029472	14888	12810	16140	13636	17061	13542	11365
ENSMUSG00000029474	518	408	508	542	592	521	612
ENSMUSG00000029475	454	418	569	565	699	518	388
ENSMUSG00000029477	0	0	4	0	3	2	1
ENSMUSG00000029478	2837	2293	3342	2647	3257	3031	2714
ENSMUSG00000029480	183	181	231	188	195	166	201
ENSMUSG00000029482	52	57	178	40	48	71	101
ENSMUSG00000029484	264	207	384	263	301	298	537
ENSMUSG00000029486	572	472	549	531	621	459	554
ENSMUSG00000029490	79	79	86	68	100	98	103
ENSMUSG00000029491	1	0	0	0	0	0	0
ENSMUSG00000029499	641	518	440	501	568	630	498
ENSMUSG00000029500	656	562	594	592	621	551	547
ENSMUSG00000029501	794	804	847	743	944	848	830
ENSMUSG00000029502	1719	1421	1713	1809	1853	1583	1928
ENSMUSG00000029503	0	0	0	0	0	0	0
ENSMUSG00000029504	283	245	264	220	284	239	275
ENSMUSG00000029505	776	625	785	692	756	717	883
ENSMUSG00000029507	170	201	188	171	189	180	184
ENSMUSG00000029510	11	2	6	9	11	7	17
ENSMUSG00000029512	3091	2588	2708	2470	2934	2662	2330
ENSMUSG00000029513	249	223	302	186	225	201	237
ENSMUSG00000029516	14	18	22	26	17	18	77
ENSMUSG00000029517	0	0	0	0	0	1	0
ENSMUSG00000029518	905	664	978	810	924	752	948
ENSMUSG00000029521	28	39	62	72	59	70	64
ENSMUSG00000029522	0	0	0	0	0	0	0
ENSMUSG00000029524	197	148	157	161	179	158	141
ENSMUSG00000029526	2	0	0	0	0	1	0
ENSMUSG00000029528	2392	2077	2478	2170	2509	2396	2530
ENSMUSG00000029530	9	9	17	26	24	11	15
ENSMUSG00000029534	178	167	278	172	225	227	238
ENSMUSG00000029535	292	225	347	245	328	284	337
ENSMUSG00000029536	821	675	925	833	870	813	777
ENSMUSG00000029538	224	170	209	220	243	224	279
ENSMUSG00000029541	0	0	0	0	0	0	0
ENSMUSG00000029544	27	20	28	17	27	31	25
ENSMUSG00000029545	2070	1671	1399	1532	1680	1682	1940
ENSMUSG00000029546	0	0	5	5	2	1	1
ENSMUSG00000029547	1161	1007	1346	1054	1210	988	1085
ENSMUSG00000029550	497	435	571	500	552	471	548
ENSMUSG00000029551	106	92	118	97	126	97	100
ENSMUSG00000029552	30	17	37	21	27	27	83
ENSMUSG00000029553	0	0	3	0	1	4	22
ENSMUSG00000029554	135	110	159	124	161	130	143
ENSMUSG00000029556	0	1	0	0	0	0	1
ENSMUSG00000029557	163	96	161	102	174	131	116
ENSMUSG00000029559	353	256	361	337	294	326	337
ENSMUSG00000029560	256	205	240	190	218	202	293
ENSMUSG00000029561	68	66	134	52	41	64	224
ENSMUSG00000029563	40	63	42	58	54	44	41
ENSMUSG00000029564	0	4	0	0	0	0	2
ENSMUSG00000029569	244	220	303	220	265	250	373
ENSMUSG00000029570	64	34	135	54	65	64	164
ENSMUSG00000029571	1556	1409	1423	1274	1672	1576	1711
ENSMUSG00000029575	923	745	986	926	1104	931	752
ENSMUSG00000029576	36	27	49	24	35	39	44
ENSMUSG00000029577	5784	4438	5275	5216	6074	4991	4803
ENSMUSG00000029578	953	837	968	836	1003	867	915
ENSMUSG00000029580	3282	2911	7443	4469	3555	3926	10416
ENSMUSG00000029581	137	132	225	154	179	192	592
ENSMUSG00000029586	0	0	0	0	0	0	0
ENSMUSG00000029587	309	276	267	237	253	249	269
ENSMUSG00000029591	210	208	129	142	200	178	167
ENSMUSG00000029592	256	227	270	198	249	220	206
ENSMUSG00000029594	302	273	342	287	352	296	306
ENSMUSG00000029595	4	9	2	7	1	4	0
ENSMUSG00000029596	5	6	6	4	2	1	3
ENSMUSG00000029597	5	2	2	3	2	1	3
ENSMUSG00000029598	1136	796	700	704	883	850	1008
ENSMUSG00000029599	584	548	629	482	584	551	618
ENSMUSG00000029600	88	76	84	107	98	66	86
ENSMUSG00000029601	2	3	2	1	2	0	3
ENSMUSG00000029602	1	1	0	0	0	0	1
ENSMUSG00000029603	4	10	17	10	1	12	9
ENSMUSG00000029605	26	51	54	37	55	37	30
ENSMUSG00000029607	16	12	12	3	16	14	14
ENSMUSG00000029608	3	1	4	1	0	2	2
ENSMUSG00000029610	2074	1972	2063	1822	1897	1813	1885
ENSMUSG00000029613	1518	1403	1762	1658	1738	1449	1423
ENSMUSG00000029614	5287	4357	5122	4639	5763	4796	5361
ENSMUSG00000029616	513	397	504	438	455	372	734
ENSMUSG00000029617	1104	871	1015	918	1164	946	930
ENSMUSG00000029618	0	0	0	0	0	0	0
ENSMUSG00000029620	0	0	0	0	0	0	0
ENSMUSG00000029621	502	424	496	425	483	474	598
ENSMUSG00000029622	339	262	530	275	290	309	1190
ENSMUSG00000029623	1425	987	1234	1156	1443	1184	1070
ENSMUSG00000029624	426	363	348	311	351	343	319
ENSMUSG00000029625	164	144	143	111	186	130	157
ENSMUSG00000029627	240	194	247	234	240	234	228
ENSMUSG00000029629	666	484	544	586	632	558	608
ENSMUSG00000029630	0	0	0	1	0	0	0
ENSMUSG00000029632	8014	6925	6903	6525	7999	6632	6931
ENSMUSG00000029633	1	0	1	1	1	0	8
ENSMUSG00000029634	1168	966	1194	1069	1245	1062	1029
ENSMUSG00000029635	361	392	383	348	440	387	437
ENSMUSG00000029636	27	12	43	17	22	21	37
ENSMUSG00000029638	127	95	149	17	139	137	73
ENSMUSG00000029640	724	551	652	630	700	631	860
ENSMUSG00000029641	19	5	31	11	17	17	25
ENSMUSG00000029642	1142	837	1108	1025	1299	963	1153
ENSMUSG00000029644	0	0	0	0	0	0	0
ENSMUSG00000029646	0	0	0	0	0	0	0
ENSMUSG00000029647	332	270	273	282	361	291	339
ENSMUSG00000029648	1922	1504	1371	1357	1771	1519	1196
ENSMUSG00000029649	1423	1013	1106	1256	1476	1225	1516
ENSMUSG00000029650	220	186	168	123	183	187	170
ENSMUSG00000029651	9	5	3	4	2	1	20
ENSMUSG00000029655	351	350	390	325	371	417	508
ENSMUSG00000029656	0	0	0	3	0	0	0
ENSMUSG00000029657	1405	1356	1914	1633	1763	1366	2227
ENSMUSG00000029658	0	2	0	0	0	0	0
ENSMUSG00000029659	224	184	392	225	220	268	757
ENSMUSG00000029660	0	2	0	0	1	0	2
ENSMUSG00000029661	1746	1885	3567	2231	1479	2301	31326
ENSMUSG00000029663	0	1	0	1	0	0	1
ENSMUSG00000029664	1	10	13	5	9	1	46
ENSMUSG00000029669	99	115	183	122	114	102	153
ENSMUSG00000029670	115	88	103	75	123	102	139
ENSMUSG00000029671	45	17	19	32	35	46	34
ENSMUSG00000029672	240	197	174	180	208	192	292
ENSMUSG00000029673	301	164	770	524	339	343	439
ENSMUSG00000029674	43	47	85	35	53	48	122
ENSMUSG00000029675	227	203	359	231	213	235	1415
ENSMUSG00000029676	307	234	302	253	342	278	284
ENSMUSG00000029678	0	0	0	0	0	0	0
ENSMUSG00000029679	0	0	0	0	0	0	0
ENSMUSG00000029680	0	0	0	0	0	0	0
ENSMUSG00000029681	410	368	517	373	371	381	436
ENSMUSG00000029682	0	0	0	0	0	0	0
ENSMUSG00000029683	4544	3589	831	1794	3551	2715	5395
ENSMUSG00000029684	505	457	518	424	489	412	569
ENSMUSG00000029685	4717	3475	2844	3077	3901	3243	3846
ENSMUSG00000029686	2563	2268	2370	2366	2876	2300	2476
ENSMUSG00000029687	99	115	86	83	112	65	159
ENSMUSG00000029695	1	1	15	4	4	4	9
ENSMUSG00000029697	0	0	0	0	0	0	0
ENSMUSG00000029699	11	4	13	16	15	16	20
ENSMUSG00000029700	5	8	6	3	10	4	8
ENSMUSG00000029701	692	612	850	592	770	778	718
ENSMUSG00000029703	153	113	141	129	137	161	178
ENSMUSG00000029705	2710	1967	2860	2525	2875	2388	2629
ENSMUSG00000029706	0	0	0	0	0	0	0
ENSMUSG00000029707	0	0	0	0	0	0	0
ENSMUSG00000029708	218	239	274	195	266	241	246
ENSMUSG00000029710	388	281	351	325	352	356	445
ENSMUSG00000029711	0	0	0	0	0	0	0
ENSMUSG00000029712	0	0	1	0	0	0	0
ENSMUSG00000029713	1367	991	1339	1327	1334	1257	1753
ENSMUSG00000029714	1101	899	935	813	1063	1005	777
ENSMUSG00000029715	72	48	96	111	101	86	87
ENSMUSG00000029716	4	4	16	4	1	0	8
ENSMUSG00000029718	483	437	860	585	410	582	1823
ENSMUSG00000029720	300	211	277	317	421	243	335
ENSMUSG00000029722	99	101	132	86	86	101	124
ENSMUSG00000029723	975	763	875	880	920	926	960
